,ofi_multi_L3_AAPL,ofi_int_10s_AAPL
2024-10-21 12:14:36+00:00,-200.0,0.0
2024-10-21 12:14:40+00:00,200.0,0.0
2024-10-21 12:14:42+00:00,173.0,173.0
2024-10-21 12:14:48+00:00,0.0,373.0
2024-10-21 12:14:52+00:00,29.0,29.0
2024-10-21 12:14:58+00:00,200.0,229.0
2024-10-21 12:15:04+00:00,-200.0,0.0
2024-10-21 12:15:08+00:00,0.0,-200.0
2024-10-21 12:15:12+00:00,625.0,425.0
2024-10-21 12:15:14+00:00,100.0,725.0
2024-10-21 12:15:16+00:00,0.0,725.0
2024-10-21 12:15:24+00:00,-124.0,-124.0
2024-10-21 12:15:26+00:00,-400.0,-524.0
2024-10-21 12:15:28+00:00,671.0,147.0
2024-10-21 12:15:38+00:00,-276.0,-276.0
2024-10-21 12:15:40+00:00,-400.0,-676.0
2024-10-21 12:15:42+00:00,-229.0,-905.0
2024-10-21 12:15:46+00:00,-200.0,-1105.0
2024-10-21 12:15:50+00:00,0.0,-429.0
2024-10-21 12:15:54+00:00,201.0,1.0
2024-10-21 12:16:00+00:00,200.0,401.0
2024-10-21 12:16:02+00:00,-203.0,198.0
2024-10-21 12:16:04+00:00,200.0,197.0
2024-10-21 12:16:08+00:00,30.0,227.0
2024-10-21 12:16:10+00:00,229.0,256.0
2024-10-21 12:16:12+00:00,0.0,459.0
2024-10-21 12:16:14+00:00,0.0,259.0
2024-10-21 12:16:20+00:00,0.0,0.0
2024-10-21 12:16:34+00:00,0.0,0.0
2024-10-21 12:16:36+00:00,127.0,127.0
2024-10-21 12:16:40+00:00,-29.0,98.0
2024-10-21 12:16:42+00:00,0.0,98.0
2024-10-21 12:16:44+00:00,18.0,116.0
2024-10-21 12:16:46+00:00,0.0,-11.0
2024-10-21 12:16:48+00:00,-189.0,-200.0
2024-10-21 12:16:50+00:00,168.0,-3.0
2024-10-21 12:16:54+00:00,0.0,-21.0
2024-10-21 12:17:02+00:00,800.0,800.0
2024-10-21 12:17:04+00:00,0.0,800.0
2024-10-21 12:17:06+00:00,0.0,800.0
2024-10-21 12:17:10+00:00,-200.0,600.0
2024-10-21 12:17:16+00:00,200.0,0.0
2024-10-21 12:17:18+00:00,10.0,10.0
2024-10-21 12:17:20+00:00,171.0,381.0
2024-10-21 12:17:22+00:00,21.0,402.0
2024-10-21 12:17:24+00:00,400.0,802.0
2024-10-21 12:17:26+00:00,227.0,829.0
2024-10-21 12:17:30+00:00,-200.0,448.0
2024-10-21 12:17:32+00:00,-198.0,229.0
2024-10-21 12:17:34+00:00,-200.0,-371.0
2024-10-21 12:17:36+00:00,400.0,-198.0
2024-10-21 12:17:38+00:00,171.0,-27.0
2024-10-21 12:17:46+00:00,-340.0,-169.0
2024-10-21 12:17:56+00:00,-235.0,-235.0
2024-10-21 12:17:58+00:00,200.0,-35.0
2024-10-21 12:18:00+00:00,-228.0,-263.0
2024-10-21 12:18:02+00:00,0.0,-263.0
2024-10-21 12:18:04+00:00,0.0,-263.0
2024-10-21 12:18:08+00:00,0.0,-228.0
2024-10-21 12:18:10+00:00,200.0,200.0
2024-10-21 12:18:20+00:00,-8.0,-8.0
2024-10-21 12:18:30+00:00,200.0,200.0
2024-10-21 12:18:38+00:00,-428.0,-228.0
2024-10-21 12:18:40+00:00,230.0,-198.0
2024-10-21 12:18:44+00:00,174.0,-24.0
2024-10-21 12:18:46+00:00,170.0,146.0
2024-10-21 12:18:48+00:00,428.0,1002.0
2024-10-21 12:18:50+00:00,230.0,1002.0
2024-10-21 12:18:52+00:00,0.0,1002.0
2024-10-21 12:19:00+00:00,-173.0,-173.0
2024-10-21 12:19:02+00:00,-227.0,-400.0
2024-10-21 12:19:04+00:00,0.0,-400.0
2024-10-21 12:19:06+00:00,27.0,-373.0
2024-10-21 12:19:08+00:00,0.0,-373.0
2024-10-21 12:19:10+00:00,200.0,0.0
2024-10-21 12:19:14+00:00,0.0,227.0
2024-10-21 12:19:20+00:00,0.0,0.0
2024-10-21 12:19:30+00:00,30.0,30.0
2024-10-21 12:19:34+00:00,-200.0,-170.0
2024-10-21 12:19:38+00:00,0.0,-170.0
2024-10-21 12:19:40+00:00,200.0,0.0
2024-10-21 12:19:42+00:00,-200.0,-200.0
2024-10-21 12:19:44+00:00,-200.0,-200.0
2024-10-21 12:19:56+00:00,200.0,200.0
2024-10-21 12:20:02+00:00,27.0,227.0
2024-10-21 12:20:16+00:00,-200.0,-200.0
2024-10-21 12:20:18+00:00,200.0,0.0
2024-10-21 12:20:26+00:00,200.0,400.0
2024-10-21 12:20:28+00:00,5.0,205.0
2024-10-21 12:20:32+00:00,27.0,232.0
2024-10-21 12:20:34+00:00,0.0,232.0
2024-10-21 12:20:52+00:00,750.0,750.0
2024-10-21 12:20:54+00:00,0.0,750.0
2024-10-21 12:20:56+00:00,-27.0,723.0
2024-10-21 12:21:00+00:00,-230.0,493.0
2024-10-21 12:21:06+00:00,-171.0,-401.0
2024-10-21 12:21:08+00:00,-279.0,-680.0
2024-10-21 12:21:12+00:00,0.0,-450.0
2024-10-21 12:21:16+00:00,-800.0,-1079.0
2024-10-21 12:21:18+00:00,200.0,-600.0
2024-10-21 12:21:20+00:00,0.0,-600.0
2024-10-21 12:21:26+00:00,0.0,200.0
2024-10-21 12:21:28+00:00,400.0,400.0
2024-10-21 12:21:42+00:00,-400.0,-400.0
2024-10-21 12:21:44+00:00,400.0,0.0
2024-10-21 12:21:48+00:00,-226.0,-226.0
2024-10-21 12:21:52+00:00,400.0,574.0
2024-10-21 12:22:00+00:00,200.0,600.0
2024-10-21 12:22:02+00:00,850.0,1050.0
2024-10-21 12:22:08+00:00,-200.0,850.0
2024-10-21 12:22:16+00:00,-572.0,-772.0
2024-10-21 12:22:20+00:00,254.0,-318.0
2024-10-21 12:22:22+00:00,-278.0,-596.0
2024-10-21 12:22:26+00:00,200.0,176.0
2024-10-21 12:22:28+00:00,200.0,376.0
2024-10-21 12:22:36+00:00,26.0,226.0
2024-10-21 12:23:08+00:00,923.0,923.0
2024-10-21 12:23:10+00:00,-323.0,600.0
2024-10-21 12:23:12+00:00,174.0,774.0
2024-10-21 12:23:14+00:00,-200.0,574.0
2024-10-21 12:23:24+00:00,202.0,202.0
2024-10-21 12:23:26+00:00,-4.0,198.0
2024-10-21 12:23:28+00:00,0.0,198.0
2024-10-21 12:23:30+00:00,-200.0,-2.0
2024-10-21 12:23:32+00:00,-200.0,-202.0
2024-10-21 12:23:34+00:00,-900.0,-1304.0
2024-10-21 12:23:36+00:00,300.0,-1000.0
2024-10-21 12:23:38+00:00,30.0,-970.0
2024-10-21 12:23:40+00:00,200.0,-570.0
2024-10-21 12:23:52+00:00,4.0,4.0
2024-10-21 12:23:56+00:00,-540.0,-536.0
2024-10-21 12:23:58+00:00,-158.0,-694.0
2024-10-21 12:24:00+00:00,200.0,-494.0
2024-10-21 12:24:02+00:00,400.0,-98.0
2024-10-21 12:24:12+00:00,-396.0,-396.0
2024-10-21 12:24:14+00:00,29.0,-367.0
2024-10-21 12:24:16+00:00,0.0,-367.0
2024-10-21 12:24:18+00:00,-200.0,-567.0
2024-10-21 12:24:24+00:00,-2.0,-202.0
2024-10-21 12:24:32+00:00,1.0,-1.0
2024-10-21 12:24:36+00:00,-2.0,-1.0
2024-10-21 12:24:40+00:00,-131.0,-132.0
2024-10-21 12:24:42+00:00,-25.0,-158.0
2024-10-21 12:24:54+00:00,52.0,52.0
2024-10-21 12:24:58+00:00,-26.0,26.0
2024-10-21 12:25:00+00:00,-1.0,25.0
2024-10-21 12:25:02+00:00,7.0,32.0
2024-10-21 12:25:06+00:00,0.0,-20.0
2024-10-21 12:25:08+00:00,100.0,106.0
2024-10-21 12:25:10+00:00,-7.0,100.0
2024-10-21 12:25:16+00:00,0.0,93.0
2024-10-21 12:25:24+00:00,400.0,400.0
2024-10-21 12:25:26+00:00,400.0,800.0
2024-10-21 12:25:34+00:00,-442.0,-42.0
2024-10-21 12:25:36+00:00,0.0,-442.0
2024-10-21 12:25:38+00:00,0.0,-442.0
2024-10-21 12:25:42+00:00,0.0,-442.0
2024-10-21 12:25:44+00:00,0.0,0.0
2024-10-21 12:25:52+00:00,0.0,0.0
2024-10-21 12:25:54+00:00,1.0,1.0
2024-10-21 12:26:00+00:00,0.0,1.0
2024-10-21 12:26:02+00:00,-200.0,-199.0
2024-10-21 12:26:04+00:00,114.0,-86.0
2024-10-21 12:26:08+00:00,100.0,14.0
2024-10-21 12:26:10+00:00,-200.0,-186.0
2024-10-21 12:26:12+00:00,0.0,14.0
2024-10-21 12:26:20+00:00,-185.0,-185.0
2024-10-21 12:26:22+00:00,0.0,-185.0
2024-10-21 12:26:24+00:00,385.0,200.0
2024-10-21 12:26:30+00:00,0.0,385.0
2024-10-21 12:26:32+00:00,-69.0,316.0
2024-10-21 12:26:40+00:00,-200.0,-269.0
2024-10-21 12:26:42+00:00,146.0,-54.0
2024-10-21 12:26:44+00:00,-23.0,-77.0
2024-10-21 12:26:46+00:00,0.0,-77.0
